Metric  Number genes	Rank 1	Rank 2	Ranks 3-5	Ranks 6-25	Ranks >25	Rank 1-3	Rank 1-5	No Rank	Rank 1 (%)	Rank 2 (%)	Ranks 3-5 (%)	Ranks 6-25 (%)	Ranks >25 (%)	Rank 1-3 (%)	Rank 1-5 (%)	No Rank (%)	Average Adj P-value (Expected Pathway)	Median Adj P-value (Expected Pathway)	Std Dev Adj P-value (Expected Pathway)
Random  10	107.3	18.24	21.03	26.48	15.76	135.65	146.57	4.19	55.5954	9.4507	10.896299999999998	13.720699999999999	8.1661	70.2852	75.9433	2.1706	0.028290000000000003	4.7214e-05	0.067594
Random  20	96.14	19.23	16.04	17.82	7.46	122.98	131.41	0.31	61.2358	12.248299999999999	10.2157	11.3497	4.7517000000000005	78.3309	83.70100000000001	0.19830000000000003	0.0124831	9.16539e-09	0.052595
Random  30	76.17	12.19	10.4	12.32	4.89	92.69	98.76	0.03	65.6637	10.5078	8.9648	10.6202	4.215	79.9056	85.13780000000001	0.0258	0.0068674999999999995	1.807398e-11	0.0363688
Random  40	60.05	7.52	8.7	10.2	3.52	71.51	76.27	0.01	66.72279999999999	8.3563	9.6671	11.332699999999999	3.9098	79.4559	84.74430000000001	0.0111	0.0039502	3.857294e-13	0.024244500000000002
Random  50	51.12	6.67	8.69	8.53	2.99	61.45	66.48	0.0	65.5378	8.5507	11.140999999999998	10.935699999999999	3.8331	78.78269999999999	85.2315	0.0	0.00209194	4.567769000000001e-15	0.01371609
Random  60	44.27	6.28	7.64	7.1	2.71	54.1	58.19	0.0	65.10470000000001	9.2333	11.234100000000002	10.4396	3.9837000000000002	79.5572	85.57209999999999	0.0	0.0009810420000000001	7.58825022e-16	0.006413029999999999
Random  70	35.25	6.63	7.21	6.14	2.77	45.44	49.09	0.0	60.7751	11.4302	12.4307	10.5857	4.776	78.3448	84.63770000000001	0.0	0.00041566	7.813433040000001e-16	0.00261833
Random  80	33.08	5.97	6.71	5.61	0.63	42.31	45.76	0.0	63.6154	11.4816	12.9039	10.7893	1.2111	81.3663	87.99940000000001	0.0	0.00013842788300000002	1.4016894e-17	0.0009336576800000001
Random  90	27.71	5.09	6.73	5.01	0.46	36.11	39.53	0.0	61.5779	11.311300000000001	14.956600000000002	11.133600000000001	1.0213	80.24430000000001	87.844	0.0	4.9829869e-05	1.4896341699999998e-17	0.000320157964
Random  100	28.59	4.53	6.97	4.62	0.29	36.73	40.09	0.0	63.5325	10.0663	15.4894	10.2673	0.6438000000000001	81.62180000000001	89.0883	0.0	1.912974495e-05	9.1166377e-20	0.00012545418780000002